date-time,year,month,day,hub_id,t1,t2,cat_ord,cat_car
08.09.2016,1999,4,24,3,14096,13372,MAD,false
25.04.2015,2008,6,30,3,18899,12823,XOF,false
16.05.2017,2009,11,4,2,14956,14103,CNY,false
29.06.2015,2008,7,23,2,15714,12210,MXN,true
22.01.2018,2012,12,12,5,11435,14125,XOF,false
30.04.2019,2009,12,21,2,13402,11574,DOP,true
18.05.2015,1986,8,6,3,11914,12434,GYD,true
04.01.2019,2002,12,17,5,11681,18096,NGN,false
04.02.2019,1999,9,21,5,12758,16367,RUB,true
18.05.2015,1994,11,17,5,18447,19047,GBP,false
29.05.2015,2013,10,10,5,17212,18411,IDR,false
27.03.2015,2006,9,25,3,19108,13524,,true
06.06.2015,2012,3,11,3,17617,19646,IDR,true
14.04.2016,1993,6,1,3,19869,18913,USD,true
08.06.2017,1987,7,25,3,11692,14700,COP,true
31.05.2019,1998,8,28,5,10288,19742,PLN,false
29.10.2019,2010,7,20,2,10391,11905,CAD,false
16.09.2015,2012,12,3,1,14418,13469,CNY,false
28.02.2018,2008,12,13,4,15983,17583,IDR,true
27.01.2019,1985,4,28,4,11505,19231,IDR,true
18.01.2020,2012,7,16,1,16257,15272,NGN,
30.08.2016,1996,9,21,3,13512,17462,,true
25.03.2018,2011,9,21,1,11816,15565,VEF,false
29.01.2017,1992,5,8,3,14456,19114,KZT,true
29.04.2016,1994,12,6,2,17769,18316,CZK,true
01.06.2018,2004,6,12,4,17312,13262,AFN,false
29.07.2019,2009,9,11,3,,,PHP,true
05.07.2018,2008,10,11,4,12258,10797,RUB,true
22.05.2018,2004,7,12,1,11852,15502,BGN,true
22.06.2019,2012,5,19,5,16501,10176,RUB,true
28.05.2018,2012,12,2,3,,,USD,true
07.10.2018,1993,8,22,4,17895,19919,ARS,false
22.09.2018,2010,7,6,3,19257,17726,PLN,true
02.10.2017,2004,10,1,2,14193,14883,CNY,true
21.09.2019,2002,3,23,1,14527,16476,UYU,true
08.12.2018,1994,4,7,5,17557,12290,PHP,true
02.07.2018,1989,4,27,5,18061,16791,CNY,true
31.08.2018,2000,8,5,3,11016,11909,PHP,false
06.05.2015,1987,10,25,2,17160,11023,CNY,true
04.10.2019,1990,12,5,1,13749,11358,CNY,false
21.06.2019,2011,6,26,3,11592,12648,BRL,true
18.05.2018,2003,6,2,5,14578,16826,CUP,true
16.05.2016,2003,4,6,4,14674,10133,PLN,true
07.11.2016,2011,8,9,1,15023,12840,COP,false
09.03.2020,1988,11,22,1,16078,14223,ZAR,true
05.03.2018,1987,10,19,5,12078,18067,TND,false
06.07.2018,1999,8,18,5,14972,10274,CAD,false
13.09.2016,1999,5,19,3,10879,16761,CAD,true
07.10.2018,1990,11,27,3,,,RSD,true
25.10.2016,2008,9,15,2,17959,17673,MXN,false
01.10.2016,1993,10,25,5,15096,11613,UZS,false
08.01.2016,2005,7,6,3,12789,12979,SDG,true
25.06.2018,1984,7,7,3,17129,11237,COP,true
26.07.2015,1995,4,7,1,11358,10512,TND,false
09.11.2015,1957,11,12,3,14964,11558,VND,true
14.04.2019,2005,12,22,3,12353,14362,COP,true
17.05.2015,2006,6,3,2,14054,16280,ILS,false
03.01.2016,2013,7,25,4,10870,19188,TND,false
27.07.2018,2007,5,23,1,18365,13311,PHP,true
15.05.2015,1997,4,17,1,10289,10982,CNY,false
05.02.2018,2009,6,27,4,14984,19212,CNY,false
29.07.2016,1987,7,12,4,19020,14725,PHP,false
25.08.2015,2010,8,23,4,18806,12223,HUF,false
14.11.2017,2001,5,19,5,11280,15509,IDR,false
12.04.2019,1990,9,12,3,12595,15804,XPF,false
23.04.2015,2004,12,26,4,16220,12087,,false
16.02.2020,2006,9,14,5,11778,15166,IDR,true
09.01.2018,2003,5,18,1,19445,19621,BRL,false
27.03.2018,2008,4,8,2,19936,19771,EUR,false
11.02.2017,2012,12,27,2,19753,15790,JPY,false
25.02.2020,1993,11,12,5,13988,13946,IRR,true
22.09.2018,2002,12,3,1,13825,18626,PHP,false
20.06.2015,1996,10,9,2,17920,18270,XOF,false
24.02.2016,2003,5,16,2,18163,10995,TZS,true
16.12.2016,2000,7,19,4,19590,15813,KMF,false
06.08.2017,2006,5,18,4,19683,14826,RUB,false
27.12.2018,1996,6,29,2,19884,12299,JPY,true
02.02.2018,2000,11,3,2,14461,10239,CNY,true
24.11.2016,1996,6,8,3,15007,10965,PHP,true
08.08.2016,2006,7,22,4,17267,10004,VEF,true
06.07.2015,1997,5,22,5,17113,13364,EUR,false
02.12.2015,2006,5,21,5,15189,11331,EUR,false
01.09.2019,2002,12,22,2,14782,17001,CNY,false
07.11.2019,1990,6,6,3,15850,17273,USD,false
11.01.2020,1995,9,16,3,10758,10765,EUR,true
06.11.2019,1995,4,11,4,17442,11996,PHP,true
30.09.2015,2012,6,11,2,15148,11005,JPY,false
15.05.2016,2003,6,3,3,12348,15005,COP,false
21.02.2019,2011,8,12,5,11982,19324,RUB,false
15.08.2015,1993,10,1,2,19628,11360,PHP,true
21.12.2015,2007,12,27,2,17373,10412,EUR,true
31.12.2015,2007,12,24,5,16339,11014,PEN,true
24.05.2016,1990,3,15,4,10547,19979,IDR,true
20.04.2015,1997,6,6,4,11130,19316,CNY,true
02.09.2019,1997,5,20,1,12154,15057,IDR,true
21.03.2015,1990,4,23,1,13098,18946,NGN,false
26.12.2015,2007,7,1,3,10163,12378,CNY,true
02.08.2019,2009,11,25,2,11530,14358,ARS,true
10.03.2020,1998,7,29,1,13318,15002,COP,false
01.03.2019,1990,6,13,2,15033,13007,IDR,false
18.05.2018,2008,3,9,2,10416,15574,HNL,true
10.11.2017,2001,6,17,5,11032,15183,CNY,true
30.12.2018,1998,3,14,3,14169,11538,EUR,false
12.11.2018,2007,8,13,2,16332,16130,EUR,true
17.12.2019,2011,6,29,1,15280,18593,MXN,true
17.08.2019,2011,9,16,3,17500,14985,CNY,true
23.06.2017,1987,11,5,1,11423,10663,UGX,true
21.10.2015,1997,10,28,5,14916,10008,DKK,true
21.03.2017,1997,5,29,5,11634,18881,CNY,true
25.11.2016,2003,7,10,4,14955,10283,BRL,false
20.12.2017,1993,10,5,2,15579,16209,MNT,true
19.01.2016,2000,11,20,1,12416,16514,NOK,true
07.09.2017,1994,10,30,5,16041,15387,SEK,false
30.08.2016,2011,11,5,3,10079,13877,NGN,false
26.03.2016,2007,3,25,1,16701,11843,CNY,true
12.01.2018,2006,11,4,3,19768,13333,ARS,true
21.04.2019,2001,12,30,2,,,MMK,true
11.02.2019,2012,7,17,2,16824,13428,USD,true
06.08.2015,1984,9,8,1,11279,15445,CNY,false
05.12.2017,2012,9,12,2,17979,16223,PEN,false
18.06.2015,2009,3,16,5,19407,14576,CNY,false
16.12.2015,1997,7,17,2,17236,12220,,false
24.03.2018,1994,3,17,5,18569,16535,IDR,true
23.02.2020,2005,7,3,1,12974,17877,CNY,false
16.01.2020,2009,10,22,3,11870,11239,EUR,false
11.11.2016,2006,3,25,4,10276,16170,CNY,false
30.04.2019,2011,8,16,3,13366,18273,CNY,false
22.05.2016,2008,3,18,2,15229,12984,PHP,false
30.06.2017,2012,9,11,5,10492,18676,CNY,false
08.08.2016,1990,8,28,3,13849,19881,EUR,false
29.08.2018,1999,7,10,1,11250,11946,IDR,false
23.04.2018,1997,9,18,4,17425,10734,JPY,true
02.04.2017,1996,6,14,1,10560,10818,EUR,false
02.06.2016,2006,7,14,1,14332,12026,CNY,false
28.03.2017,1984,6,12,2,10900,13062,CNY,false
30.08.2019,2007,10,7,3,16491,11452,PKR,false
24.07.2017,2001,4,8,3,11681,10338,HRK,true
19.01.2017,1999,12,29,3,,,BAM,true
19.04.2019,1994,7,28,2,15376,19109,BRL,false
06.05.2019,1994,6,29,3,10329,18049,CNY,false
06.11.2018,1986,8,14,2,17427,14632,BAM,false
22.01.2018,1992,3,24,2,11805,18779,IDR,false
14.12.2016,1998,8,2,3,15471,14216,,false
11.12.2017,2002,12,25,3,,,PHP,false
23.05.2019,2004,4,27,1,19127,19083,CNY,true
12.09.2019,1994,10,9,4,10515,19612,PHP,false
06.02.2019,1996,3,7,2,12931,12317,PHP,true
15.06.2015,2008,8,19,5,16919,15256,XCD,false
27.09.2018,2006,4,28,3,10534,17052,EUR,false
20.05.2019,2011,5,16,2,13954,10666,UAH,true
23.03.2017,1986,6,17,5,15792,19578,RUB,true
03.02.2020,1991,9,18,5,16699,13696,BRL,false
16.11.2016,1996,12,23,5,18344,12532,EUR,false
20.10.2018,2012,4,19,5,11606,13659,BYR,false
08.04.2018,2004,8,15,4,11982,11447,PHP,true
21.02.2017,2002,12,16,4,18534,18881,BAM,true
09.05.2018,1999,9,7,4,19274,19993,BRL,true
19.10.2015,1998,3,21,2,16418,13253,PHP,false
19.04.2015,2006,5,24,3,18731,16633,CNY,false
01.03.2018,1991,3,2,4,17021,13644,RUB,true
02.02.2020,2007,5,10,4,17000,11082,HNL,true
14.10.2015,2004,10,16,3,18738,13116,CNY,
22.10.2015,2005,11,18,5,12409,16506,EUR,false
13.10.2016,1999,3,10,3,18717,14805,JPY,false
02.06.2016,2013,12,20,3,16999,14575,CNY,true
16.06.2019,2005,9,3,2,15010,16519,ARS,false
25.06.2017,2002,9,26,4,12535,16689,PLN,false
04.03.2017,2001,5,26,2,14407,14131,,true
18.08.2015,1996,7,9,5,14895,11741,EUR,true
21.02.2017,2008,6,21,1,11738,19815,,true
18.01.2017,1996,5,29,5,11395,19759,PLN,true
03.12.2018,1986,12,12,2,10465,16064,EUR,false
14.11.2018,1998,5,20,5,13921,12834,CNY,false
08.08.2017,1986,10,26,5,17875,17192,AFN,false
16.05.2016,2008,8,20,4,16978,14391,PLN,false
16.05.2016,2004,4,4,4,16474,12241,,false
06.08.2019,1993,12,29,3,15957,15247,SEK,true
